name,sku,_type,visibility,_category,brands,description,specifications,resources,Main Image,2nd Image,3rd Image,4th Image,5th Image,options_1,options_2,options_3,price,short_description,weight,quantity
ResMed AirFit™ N10 and AirFit™ N10 for Her Nasal CPAP Mask & Headgear,6320x,configurable,1,Mask & Headgear,ResMed,"<div id=""Overview"">

<div id=""quickfacts"">

<h2>Features</h2>

<ul>

<b><center>The ResMed Airfit&#x2122; N10 and AirFit&#x2122; N10 Nasal Pillows CPAP Mask System</center></b>

<br><br>

<li>Optimal Performance</li>   

<li>QuickAir&#x2122; - 50% quieter than most other masks on the market today</li>

<li>Minimal Parts for easy use </li>
<li>Magnetic headgear clips</li>

<li>Visibility is optimized </li>

<li>Comfortable and pliable cushion</li>

<li>Easy adjusting headgear with quick release </li>

<li>Available in Small, Standard, and Wide</li>

 

</ul>

</div>

Quality with an abundance of comfort and performance are just a couple attributes to describe the ResMed AirFit&#x2122; N10 and AirFit&#x2122; N10 for Her Nasal CPAP Mask and Headgear. ResMed takes their innovation to another level as usual providing the very best in compliance, comfort, and simplistic design into another Nasal CPAP Mask. The forward thinking design and characteristics of the ResMed AirFit&#x2122; N10 and AirFit&#x2122; N10 for Her Nasal CPAP Mask and Headgear bring CPAP therapy up a few notches. <br><br>

ResMed AirFit&#x2122; N10 and AirFit&#x2122; N10 for Her Nasal CPAP Mask and Headgear is simplistic in design but big on comfort and compliance. CPAP users will find the visibility factor amazing with this comfort of the under-eye frame is just what nasal CPAP masks needed to improve the comfort level in this area. While the Spring Air&#x2122; cushion in the ResMed AirFit&#x2122; N10 and AirFit&#x2122; N10 for Her Nasal CPAP Mask and Headgear continues to provide the coziness that assist in compliant therapy. When there is comfort there is sleep.

<br><br>

 

<br><br>

ResMed has developed a great line of Nasal CPAP Masks that fit any lifestyle for women and men and over the last few years ResMed has not forgotten that the two are not created equal. Therefore with every new innovative product ResMed develops smaller more petite CPAP masks along with the standard sizes for users with smaller features. Hence the  ResMed AirFit&#x2122; N10 Nasal CPAP Mask and Headgear is offered in Small (for Her), Standard, and Wide. You will never receive nothing less than the best and all the options to make your CPAP therapy the most optimal from ResMed <br><br>

 

<br><br>

 

Be one of the first to experience what is offered in the ResMed AirFit&#x2122; N10 and AirFit&#x2122; N10 for Her Nasal CPAP Mask and Headgear.

 

 

<br><br>

<script type=""text/javascript"">rmad_unit=""h1"";</script>

<script type=""text/javascript"" src=""http://www.rmdassets.com/sop/dealer_comm/2014_04/ad.js""></script>

<br><br>

<br><br>

<b>Sizes to Select when ordering:</b><br><br>
63229 - Small<br>

63201 &#x2013; Small (AirFit&#x2122; N10 for Her)<br>

63200 &#x2013; Standard<br>

63202 &#x2013; Wide

<p class=""clear"">

</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7034, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">CPAP Nasal Interface Mask, Headgear  </span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">Yes</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>",,4536558FE2911245288BB2DC6BE90E1CE484860F.jpg,8628064E1E1F3174E2E25EF3BECCE6A679481A76.jpg,92BB28E5E271668119084ECE637B2010C2C06C0B.jpg,502AD95574BA71D6A3EAEE9F49CB29FAED83A013.jpg,C8539FD8E11E446A7225111FB86EE84A1887A30C.jpg,,,,,,,999
ResMed AirFit™ N10 and AirFit™ N10 for Her Nasal CPAP Mask & Headgear,63229,simple,0,,,,,,,,,,,63229 - AirFit&trade; N10 Small,,,,,,999
ResMed AirFit™ N10 and AirFit™ N10 for Her Nasal CPAP Mask & Headgear,63201,simple,0,,,,,,,,,,,63201 - AirFit&trade; N10 for Her Small,,,,,,999
ResMed AirFit™ N10 and AirFit™ N10 for Her Nasal CPAP Mask & Headgear,63200,simple,0,,,,,,,,,,,63200 - AirFit&trade; N10 Standard,,,,,,999
ResMed AirFit™ N10 and AirFit™ N10 for Her Nasal CPAP Mask & Headgear,63202,simple,0,,,,,,,,,,,63202 - AirFit&trade; N10 Wide,,,,,,999
ResMed AirFit™ P10 and AirFit™ P10 for Her CPAP Mask Nasal Pillows System and Headgear,629x,configurable,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2>
<ul>
<b><center>The ResMed Airfit&#x2122; P10 Nasal Pillows CPAP Mask System</center></b>
<br><br>
<li>50% lighter design</li>	
<li>QuickAir&#x2122; - 50% quieter than most other masks on the market today</li>
<li>Lightweight barely noticeable elastic CPAP headgear </li>
<li>Easy to assemble and disassemble for cleaning</li>
<li>3 Sizes included to maximize the proper fit and comfort</li>
<li>QuickFit&#x2122; Headgear &#x2013; easy adjusting and big comfort</li>

</ul>
</div>
A new level of innovation and quality in a CPAP Pillows Mask, the ResMed AirFit&#x2122; P10 and AirFit&#x2122; P10 for Her Nasal Pillows CPAP Mask System offers all the amenities of the ResMed Swift&#x2122; FX line of mask interfaces and more. The quiet operation is immediately noticed as soon as the mask is placed on the user and therapy begins.  ResMed introduces a innovative woven-mesh  QuietAir&#x2122; vent which makes the ResMed AirFit&#x2122; and AirFit&#x2122;  P10 for Her Nasal Pillows CPAP Mask the quietest  mask in the line yet. As many CPAP users know, if the mask has the right fit and is quiet a peaceful night of rest is as simple as closing the eyes. ResMed also recognizes and promotes compliance along with comfort therefore the AirFit&#x2122; P10 and AirFit&#x2122; P10 for Her Nasal Pillows CPAP Mask was created.
<br><br>
Being a quiet mask is great but the ResMed AirFit&#x2122; P10 and AirFit&#x2122; P10 for HerNasal Pillows CPAP Mask and Headgear has so much more. Yes, the AirFit&#x2122; P10 and AirFit&#x2122; P10 for Her CPAP mask  50% lighter but 100% better for the CPAP user.  CPAP users will quickly embrace this new mask for the lightweight feature but also the performance and dependability of the ResMed AirFit&#x2122; P10 and AirFit&#x2122; P10 for Her  CPAP Mask and Headgear. The QuickFit&#x2122; CPAP headgear is uniquely designed to provide stability for the active sleeper. The elastic and adjustable CPAP headgear for the AirFit&#x2122; P10 and AirFit&#x2122; P10 for Her has a split-strap back to accommodate and promote stability and fitting. 
<br><br>
ResMed continues to provide an alternative option for women who need smaller designed CPAP Mask with all the technology and innovation of other mask but with features for the lady with petite attributes. So the ResMed AirFit&#x2122; P10 for Her is available as well offering a smaller design for the female facial structure. And it&#x2019;s in pink!<br><br>
The ResMed AirFit&#x2122; P10 and AirFit&#x2122; P10 for Her CPAP Mask and Headgear easy assembly made simple with color coding for size selection with left and right orientation for proper CPAP mask fit. Easy key-clip connection of nasal pillows and dual-wall technology ensures a good fit and instant seal on contact. The ResMed AirFit&#x2122; P10 Nasal Pillows CPAP Mask System and Headgear includes 3 Pillows in sizes Small, Medium, and Large. The ResMed AirFit&#x2122; P10 for Her Nasal Pillows CPAP Mask System includes 3 Pillows in sizes Extra Small, Small, And Medium. 
<br><br>
<b>Sizes included:</b> Small, Medium, Large
<p class=""clear"">
</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7034, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">CPAP Nasal Interface Mask, Headgear (Pink or Gray), Short Tube Assembly, and Small, Medium, and Large nasal pillows, carrying bag</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">Yes</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>","<a href=""/PDFs/AirFit%20P10%20Components%20Card.pdf"" target=""_blank"">ResMed AirFit P10 Components Card</a>
<br><br>
<a href=""/PDFs/AirFit%20Fact%20Sheet.pdf"" target=""_blank&quot;"">ResMed AirFit P10 Fact Sheet</a>
<br><br>
<a href=""/PDFs/1016852_pressure-vs-flow_amer_eng.pdf"" target=""_blank"">Pressure vs Flow Rates for ResMed Masks </a>
<br><br>
<a href=""/PDFs/AirFitP10_CPG.pdf"" target=""_blank&quot;"">ResMed AirFit&#x2122; P10 Product Guide</a>",99EE20F32E5F5518113337C9850EBAAFAD28788A.jpg,730C28A8F2F67488EAB0E784D74C2A210DE291EA.jpg,CADCE9D9B30ECE4BC36D94B07FEBEA5EA3E47657.jpg,A9DAEDDD3F09BFD5BBAEDC75317AA9AC41D88C65.jpg,3BAB9A748EFC8BA57D53449EB7CEC2CFD4B5E9EB.jpg,,,,$118.00,,,999
ResMed AirFit™ P10 and AirFit™ P10 for Her CPAP Mask Nasal Pillows System and Headgear,62900,simple,0,,,,,,,,,,,62900 - AirFit P10,,,,,,999
ResMed AirFit™ P10 and AirFit™ P10 for Her CPAP Mask Nasal Pillows System and Headgear,62910,simple,0,,,,,,,,,,,62910 - AirFit P10 for Her,,,,,,999
ResMed Swift™ FX Nano for Her CPAP Nasal Mask & Headgear,62201,simple,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2>
<ul>
<li>No  forehead pad &#x2013; no unsightly marks</li>
<li>Light weight and compact design   </li>
<li>Easy and quick adjusting headgear</li> 
<li>360&#x2070; Swivel ball-joint to maximize movement</li>
<li>Quiet therapy  with innovative vent design</li>
</ul>
</div>
<br><br>
<b>ResMed Swift&#x2122; FX Nano for Her CPAP Nasal Mask &amp; Headgear</b><br><br>
<center><img src=""/Images/products/ResMed/Nano%20use.jpg"" alt=""ResMed Swift FX Nano for Her in use"" <="""" a=""""></center><br><br>
ResMed did not forget about women with small features who have a desire to use the latest and greatest nasal mask (the ResMed Swift&#x2122; FX Nano Nasal CPAP Mask), the for Her is available as well. For the woman with small facial features and battling to find the <b>comfort</b>, <b>compliance</b>, and <b>quality</b> in a nasal CPAP mask, look no further! The ResMed Swift&#x2122; FX Nano Nasal CPAP Mask has it all and more. <br><br>
<b>The ResMed Swift&#x2122; Line</b><br><br>
The brand clinicians and users have trusted to provide the very best, ResMed has done it again with the Swift&#x2122; line of products. Advanced technology and quality has always been a signature of the ResMed brand and there are no disappointments found here. The light weight, durable, compact, and compliant ResMed Swift&#x2122; FX Nano for Her CPAP Mask establishes another mark on the industry. <br><br>
<b>Comfort</b><br><br>
The dual wall, latex free cushion on the ResMed Swift&#x2122; FX Nano for Her Nasal CPAP Mask solidifies the idea of the perfect seal and the soft silicone (latex free) material delivers the comfort. The elbow has a 360&#x2070; degree swivel that allows more movement during PAP therapy. The headgear is designed for comfort and stability. The comfort is in the light weight fabric and silicone integration. The silicone front CPAP straps are barely noticeable during therapy which translates into non-invasive use with the top notches for easy adjusting. The back strap is a soft, durable, and breathable fabric that continues the idea of feather weight, barely there comfort. 
<br><br>
<br><br>
<b>Sizes available :</b> <br><br>
62201 - Small
<br><br>

<script type=""text/javascript"">rmad_unit=""h1"";</script>
<center><script type=""text/javascript"" src=""//rmdassets.com/sop/dealer_comm/2013_4/ad.js""></script></center>



<p class=""clear"">
</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7034, A7035, A7037</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">Small cushion, headgear assembly, pink back strap, soft wraps, and frame assembly</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">Yes</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>","<ul>
<li><a href=""/PDFs/Nano%20fitting%20guide%20-%20CPAP%20Supply%20USA.pdf"" target=""_blank"">Fitting Guide</a></li>
<br>
<li><a href=""/pdfs/Swift FX Fitting Guide.pdf"" target=""_blank"">Fitting Guide</a></li>
<br>
<li><a href=""/PDFs/Nano%20fitting%20template-CPAP%20Supply%20USA.pdf"" target=""_blank"">Sizing Guide</a></li>
</ul>",02F83154AB48C92BFC9A03F631FB60268B6F3F1F.jpg,DE27B54EFD1DF4A17C7D44509900D93ABB7A485A.jpg,0A5FD8E73C2A93F6FE746CD5083D7413200C9977.jpg,32FD9D1E3504071768A4964C393BFDF9BA922314.jpg,2AA983A584F4CAA3A7BC410329B273E022586F4A.jpg,,,,$139.00,,,999
ResMed Swift™  FX Bella Nasal CPAP Mask Pillow System and Headgear,61560,simple,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2>
<ul>
<li>Bella loops for comfort fit around the ears</li>
<li>&quot;Slinky&quot; like short tube allows for easy transitions without pulling on the mask</li>
<li>Three pillow cushions provided to ensure the patient has the right fit</li>
<li>Swift&#x2122; FX for Her headgear with the bella loops make a great combination</li>
<li>Variety of sleeping positions possible with this non-invasive system</li>
<li>Easy to clean and re-assemble with minimal parts</li>
<li>Quiet vents ensure sound reduction and direct air away from bed partner</li>
</ul>
</div>
The ResMed&#x2122; Swift FX Bella was designed with comfort and user-friendly features in mind. The Bella loops have replaced the less manageable headgear straps. The Bella provides Lightweight comfort that delivers quality along with quiet vents to make the CPAP therapy experience immeasurable. ResMed &#x2122; still delivers the soft pillow cushions offered from the Swift line of products. The lightweight accordion style tubing gives the patient more flexibility and freedom to move into a variety of sleeping positions. 
<br><br>
<b>Sizes included:</b> Extra Small, Small, Medium<br><br>
<b>Prescription Statement:</b><br><br>
&#x201C;A valid prescription is required for the purchase of t
his product.&#x201D;<p class=""clear"">
</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7032, A7034, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">Headgear, 3 Pillows (Extra Small, Small, and Medium), Bella Loops accessory, and pink soft wraps</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">Yes</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>","<a href=""/PDFs/1016852_pressure-vs-flow_amer_eng.pdf"" target=""_blank"">Pressure vs Flow Rates for ResMed Masks </a>",AEE162D8B6ED56F3444D1B7A051D0D28011936D6.jpg,8352F4687ECDD9EE7EC8584FB5EB13D6FAEE38CC.jpg,EE7D42A8D3E3DE3D00903D5446A56C4BC44D2431.jpg,DF35A2529DB4E53CC21EE39EF92B3A3049083A34.jpg,,,,,,,,999
