name,sku,_type,visibility,_category,brands,description,specifications,features,image,options_1,price,short_description,weight,quantity,_attribute_set,status,tax_class_id
Fisher & Paykel Lady Zest Q Nasal CPAP Mask and Headgear,4004XX,configurable,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,682D320DA553240CD76396EA927DA25DDEB3949B.jpg,,115,product.description,0,999,Default,1,0
Fisher & Paykel Lady Zest Q Nasal CPAP Mask and Headgear,400447,simple,1,,,,,,,400447 - Petite,,,0,999,Default,1,0
Fisher & Paykel Lady Zest Q Nasal CPAP Mask and Headgear,400448,simple,1,,,,,,,400448 - Standard,,,0,999,Default,1,0
Fisher & Paykel Pilairo Nasal Pillow CPAP Mask with Headgear,400420,simple,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,428B6EE0968B54FECCC92E2420C5BB9981887120.jpg,,115,product.description,0,999,Default,1,0
Fisher & Paykel Eson Nasal CPAP Mask and Headgear,4004xxx,configurable,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,14016C992CD1C9DB0B8003FD8F81B179A1D7FBF9.jpg,,115,product.description,0,999,Default,1,0
Fisher & Paykel Eson Nasal CPAP Mask and Headgear,400449,simple,1,,,,,,,400449 - Small,,,0,999,Default,1,0
Fisher & Paykel Eson Nasal CPAP Mask and Headgear,400450,simple,1,,,,,,,400450 - Medium,,,0,999,Default,1,0
Fisher & Paykel Eson Nasal CPAP Mask and Headgear,400451,simple,1,,,,,,,400451 - Large,,,0,999,Default,1,0
Fisher & Paykel Opus 360 Nasal Pillows CPAP Mask & Headgear,HC482A,simple,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,D70B4FEB57AD0619B1A478F9F0275DA3A28B6079.jpg,,115,product.description,0,999,Default,1,0
Fisher & Paykel Pilairo Q Nasal Pillow CPAP Mask with Headgear,400421,simple,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,2E90A6E8EF4245C04E53BD2E96859D28DE539E44.jpg,,115,product.description,0,999,Default,1,0
Fisher & Paykel Aclaim® 2 CPAP Mask & Headgear,HC401A,simple,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,433D12604E9A20781E56268A962CC1559E226A96.jpg,,115,product.description,0,999,Default,1,0
Fisher & Paykel Simplus Full Face CPAP Mask & Headgear,40047a,configurable,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,1E1D7C243EC4CEFEF431BD57C6F0050AC202CE0A.jpg,,135,product.description,0,999,Default,1,0
Fisher & Paykel Simplus Full Face CPAP Mask & Headgear,400475,simple,1,,,,,,,400475 - Small,,,0,999,Default,1,0
Fisher & Paykel Simplus Full Face CPAP Mask & Headgear,400476,simple,1,,,,,,,400476 - Medium,,,0,999,Default,1,0
Fisher & Paykel Simplus Full Face CPAP Mask & Headgear,400477,simple,1,,,,,,,400477 - Large,,,0,999,Default,1,0
Fisher & Paykel FlexiFit 431 Full Face CPAP Mask & Headgear,HC431,simple,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,19247567EA81E4A72BB1BA62133B48E282B4D8CB.jpg,,155,product.description,0,999,Default,1,0
Fisher & Paykel Forma Full Face CPAP Mask & Headgear,40047X,configurable,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,DA4D286886EA609F198563BFFA57A1021AC5F6A1.jpg,,167,product.description,0,999,Default,1,0
Fisher & Paykel Forma Full Face CPAP Mask & Headgear,400470A,simple,1,,,,,,,400470A - Small,,,0,999,Default,1,0
Fisher & Paykel Forma Full Face CPAP Mask & Headgear,400471A,simple,1,,,,,,,400471A - Medium and Large,,,0,999,Default,1,0
Fisher & Paykel Forma Full Face CPAP Mask & Headgear,400473A,simple,1,,,,,,,400473A - Extra Large,,,0,999,Default,1,0
Fisher & Paykel Zest Q Nasal  CPAP Mask & Headgear,40044x,configurable,4,CPAP & Respiratory,Fisher & Paykel,product.description,product.specifications,product.resources,CF03E369A6A7BD7A9FDDF382F1CD1F70328FC298.jpg,,115,product.description,0,999,Default,1,0
Fisher & Paykel Zest Q Nasal  CPAP Mask & Headgear,400444,simple,1,,,,,,,400444 - Petite ,,,0,999,Default,1,0
Fisher & Paykel Zest Q Nasal  CPAP Mask & Headgear,400445,simple,1,,,,,,,400445 - Standard,,,0,999,Default,1,0
Fisher & Paykel Zest Q Nasal  CPAP Mask & Headgear,400446,simple,1,,,,,,,400446 - Plus ,,,0,999,Default,1,0
